Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,playerid
Zack Cozart,,37,161,144,35,7,1,4,18,17,13,27,2,1,0,0.243,0.309,0.395,0.705,0.3,0.7,-0.1,0.3,2616
Sandy Leon,Indians,62,243,220,47,9,0,6,24,24,17,63,2,1,1,0.214,0.274,0.334,0.608,0.263,1.5,-0.6,0.3,5273
Robbie Grossman,Athletics,45,196,168,42,9,1,3,23,19,25,37,1,3,1,0.25,0.349,0.376,0.725,0.316,-1.2,-0.2,0.3,5254
Christin Stewart,Tigers,112,483,425,102,21,2,18,56,59,48,121,6,1,1,0.24,0.322,0.428,0.751,0.317,-4.4,-0.6,0.3,17714
Adam Duvall,Braves,60,159,143,33,7,1,8,19,25,12,42,2,1,0,0.233,0.299,0.46,0.759,0.315,0.6,0.2,0.3,10950
Josh Naylor,Padres,55,178,160,42,9,0,6,21,21,16,30,1,1,1,0.262,0.33,0.427,0.757,0.32,-0.8,0,0.3,18839
Willi Castro,Tigers,39,168,154,39,8,2,3,18,16,9,37,2,4,1,0.254,0.302,0.387,0.689,0.294,-0.3,0.1,0.3,17338
Scooter Gennett,,53,231,214,56,11,1,7,26,28,13,50,2,1,1,0.263,0.309,0.417,0.725,0.307,-1.9,-0.1,0.3,10339
Greg Garcia,Padres,58,152,128,31,5,1,2,16,12,19,33,2,1,1,0.241,0.348,0.341,0.689,0.306,0,0.1,0.3,10951
Isaac Paredes,Tigers,23,98,88,23,4,0,3,11,10,7,14,1,1,0,0.259,0.323,0.408,0.731,0.313,0.1,0,0.3,sa920275
Matt Duffy,Rangers,32,140,125,35,6,1,2,16,13,12,22,2,2,1,0.279,0.348,0.391,0.738,0.32,-0.4,-0.2,0.3,13836
Phillip Ervin,Reds,68,174,154,38,7,2,5,20,20,15,43,3,5,3,0.243,0.319,0.417,0.735,0.313,0.1,0.1,0.3,14738
Willians Astudillo,Twins,15,59,55,16,3,0,2,7,8,2,3,1,0,0,0.29,0.319,0.456,0.775,0.325,0.2,-0.1,0.3,15608
Luis Rengifo,Angels,24,105,94,23,4,1,2,12,10,9,21,1,2,2,0.248,0.321,0.383,0.704,0.303,0.1,-0.2,0.3,19858
Tyler Heineman,,21,83,75,18,4,0,2,8,7,6,14,1,1,0,0.244,0.306,0.365,0.672,0.29,0.5,0.1,0.3,13897
Dominic Smith,Mets,73,175,159,39,8,0,6,20,21,13,41,1,1,1,0.248,0.307,0.416,0.723,0.307,-0.2,-0.1,0.3,15653
Pedro Severino,Orioles,73,288,261,62,11,0,9,30,32,21,61,3,2,1,0.238,0.3,0.385,0.685,0.293,-1.6,-0.2,0.2,14523
Albert Almora Jr.,Cubs,75,262,243,65,13,1,6,30,28,13,45,1,2,1,0.266,0.304,0.405,0.709,0.299,-0.2,-0.3,0.2,14109
Luke Maile,Pirates,63,250,227,48,11,1,4,22,23,17,61,2,2,0,0.211,0.271,0.324,0.595,0.258,1.2,0.2,0.2,13355
Garrett Hampson,Rockies,96,313,284,76,13,4,6,36,30,23,66,2,16,5,0.269,0.325,0.401,0.725,0.31,0.2,1.5,0.2,19262
Danny Mendick,White Sox,24,105,94,23,4,0,2,11,10,9,21,1,2,1,0.241,0.308,0.366,0.674,0.292,0.7,0,0.2,18889
Donovan Solano,Giants,66,227,212,57,12,1,3,22,20,10,39,2,1,1,0.271,0.307,0.371,0.678,0.291,0.4,-0.3,0.2,8623
Michael Brosseau,Rays,18,77,70,18,4,0,2,9,9,5,17,1,1,1,0.25,0.309,0.407,0.716,0.305,0.2,-0.1,0.2,19683
Lane Thomas,Cardinals,78,216,195,46,8,2,7,24,25,17,59,2,5,3,0.237,0.302,0.402,0.705,0.3,0.5,-0.2,0.2,16939
Ryan Mountcastle,Orioles,50,217,205,54,10,1,9,26,29,9,50,1,1,0,0.266,0.298,0.449,0.747,0.312,0.4,0.1,0.2,sa874734
Jake Bauers,Indians,49,210,183,43,10,1,6,25,25,24,54,1,4,2,0.234,0.324,0.404,0.728,0.313,0,0.2,0.2,15194
Ryan O'Hearn,Royals,102,441,389,90,21,2,18,50,54,44,117,3,1,0,0.23,0.312,0.429,0.741,0.313,-0.6,-0.2,0.2,16442
Tim Locastro,Diamondbacks,47,143,127,32,7,1,2,17,13,8,26,7,6,1,0.254,0.329,0.381,0.71,0.309,-0.3,0.8,0.2,15124
Abraham Toro,Astros,16,70,62,15,3,1,2,9,8,6,14,1,1,0,0.248,0.322,0.418,0.74,0.315,0.1,0,0.2,19844
Derek Dietrich,Reds,36,74,64,16,3,0,3,9,10,6,18,3,0,0,0.242,0.332,0.45,0.781,0.33,-0.1,0,0.2,10542
Josh Rojas,Diamondbacks,18,77,69,18,4,1,2,9,8,7,15,0,3,1,0.264,0.334,0.427,0.76,0.323,0.4,0,0.2,19734
Ben Gamel,Brewers,58,144,128,33,7,1,3,17,14,14,35,1,2,1,0.256,0.331,0.389,0.72,0.309,0,0.4,0.2,12160
Rob Brantly,,26,102,94,23,4,0,2,10,9,6,18,1,0,0,0.244,0.299,0.357,0.656,0.281,0.2,-0.1,0.2,10655
Brandon Drury,Blue Jays,83,357,327,77,19,1,11,37,39,24,88,3,1,1,0.236,0.293,0.395,0.688,0.292,-0.4,-0.3,0.2,11615
Jake Cave,Twins,26,112,102,26,5,1,4,14,14,8,33,1,1,0,0.257,0.317,0.437,0.754,0.318,-0.8,0,0.2,14477
Orlando Arcia,Brewers,62,206,188,47,8,1,5,20,22,15,41,1,4,2,0.248,0.303,0.382,0.684,0.29,0.3,0.1,0.2,13185
Nathaniel Lowe,Rays,13,56,49,13,2,0,2,7,7,6,13,0,0,0,0.26,0.344,0.452,0.795,0.337,0,0,0.2,19566
Jake Fraley,Mariners,66,287,263,62,14,2,8,31,32,17,71,4,9,4,0.237,0.291,0.399,0.69,0.291,0.3,0,0.2,19260
Ehire Adrianza,Twins,24,105,94,24,5,1,2,13,11,8,20,1,1,1,0.257,0.316,0.393,0.71,0.302,-0.7,0,0.2,8418
Dawel Lugo,Tigers,49,210,199,52,9,2,4,22,21,7,36,1,2,1,0.262,0.29,0.389,0.679,0.287,0.3,-0.2,0.1,14713
Ty France,Padres,21,51,46,12,2,0,2,6,6,3,10,2,0,0,0.258,0.327,0.436,0.763,0.324,0,-0.1,0.1,17982
Adeiny Hechavarria,Braves,47,163,151,39,7,1,3,17,18,9,30,1,2,1,0.258,0.3,0.384,0.685,0.29,0.8,0.1,0.1,10459
Rene Rivera,,13,51,47,10,1,0,2,5,6,3,16,1,0,0,0.214,0.272,0.384,0.656,0.278,0.5,-0.1,0.1,3648
Neil Walker,,52,124,109,27,5,0,4,14,14,13,26,1,1,0,0.243,0.326,0.397,0.723,0.31,-0.3,0,0.1,7539
Delino DeShields,Indians,47,203,178,41,8,1,3,24,15,20,52,1,11,3,0.228,0.309,0.328,0.637,0.281,0.5,1.4,0.1,11379
Grayson Greiner,Tigers,45,179,162,35,6,1,4,17,18,14,51,1,1,0,0.218,0.281,0.347,0.628,0.271,0.6,0.1,0.1,17062
Yolmer Sanchez,Giants,29,126,114,29,6,1,1,12,11,9,26,1,2,1,0.252,0.311,0.366,0.677,0.291,0.2,-0.1,0.1,11602
Ildemaro Vargas,Diamondbacks,39,88,82,23,4,1,1,10,9,4,9,0,1,0,0.277,0.316,0.401,0.717,0.305,0,0,0.1,13324
Hunter Pence,Giants,96,313,288,73,13,1,10,35,37,21,73,2,4,1,0.252,0.304,0.408,0.712,0.302,-1.4,0.3,0.1,8252
Christian Arroyo,Indians,26,112,103,26,6,0,3,12,13,7,25,1,1,0,0.248,0.3,0.396,0.695,0.295,0.1,0,0.1,16434
Jonathan Lucroy,Red Sox,16,64,58,15,3,0,1,7,8,5,10,1,0,0,0.258,0.321,0.392,0.713,0.305,-0.3,-0.2,0.1,7870
Billy Hamilton,,34,147,133,31,5,2,1,16,9,12,34,0,10,2,0.231,0.294,0.311,0.605,0.266,1.7,1.3,0.1,10199
Kevin Cron,Diamondbacks,13,36,32,8,2,0,2,5,6,3,10,0,0,0,0.248,0.319,0.498,0.817,0.338,0,0,0.1,16211
Ke'Bryan Hayes,Pirates,11,49,44,11,3,0,1,5,5,4,9,0,1,0,0.25,0.313,0.387,0.701,0.3,0.4,0.1,0.1,sa874730
Matt Reynolds,Royals,18,77,68,17,4,1,1,8,7,7,19,1,1,0,0.242,0.319,0.374,0.693,0.299,-0.2,0,0.1,13788
Jonathan Davis,Blue Jays,28,119,105,23,5,1,3,13,11,9,31,3,3,1,0.217,0.298,0.349,0.647,0.282,0.5,0.1,0.1,15104
Dom Nunez,Rockies,18,70,62,14,3,0,2,8,8,7,19,1,1,0,0.22,0.304,0.39,0.694,0.296,0.3,0,0.1,15055
Billy McKinney,Blue Jays,29,126,113,26,6,1,5,15,15,10,31,1,1,1,0.234,0.303,0.43,0.732,0.308,0.4,-0.2,0.1,15654
Ronald Guzman,Rangers,94,406,361,88,18,1,14,48,49,37,107,5,2,1,0.244,0.319,0.419,0.738,0.313,2.3,-0.5,0.1,14388
Brendan Rodgers,Rockies,11,49,45,12,2,0,2,6,6,3,10,1,0,0,0.277,0.327,0.453,0.78,0.328,0.2,0,0.1,17907
Jonah Heim,Athletics,13,51,47,11,2,0,1,5,5,3,10,0,0,0,0.228,0.283,0.343,0.626,0.27,0.4,0,0.1,sa737843
Tomas Nido,Mets,42,166,156,35,7,0,4,15,17,8,38,1,0,0,0.223,0.261,0.35,0.611,0.258,-0.5,-0.1,0.1,13755
Steven Duggar,Giants,68,294,265,64,14,2,5,30,26,25,84,2,5,4,0.243,0.309,0.364,0.672,0.29,-1.4,-0.3,0.1,17719
Clint Frazier,Yankees,23,98,89,22,5,0,4,12,13,7,26,1,1,1,0.243,0.304,0.445,0.749,0.314,-0.6,-0.1,0.1,15983
Luis Guillorme,Mets,21,79,70,17,3,0,1,8,6,7,13,0,1,0,0.247,0.321,0.338,0.66,0.29,0,0,0.1,16451
Rylan Bannon,Orioles,21,91,81,19,4,0,2,10,9,8,19,1,1,1,0.235,0.306,0.38,0.685,0.294,-0.1,-0.1,0.1,sa3004162
Roman Quinn,Phillies,65,200,179,42,7,3,4,23,20,16,56,2,11,3,0.237,0.306,0.379,0.685,0.294,-1.1,0.8,0.1,13546
Jung Ho Kang,,11,49,44,10,2,0,2,5,7,4,14,1,0,0,0.23,0.303,0.441,0.744,0.313,-0.3,-0.1,0.1,17182
Andrew Knizner,Cardinals,11,45,41,11,2,0,1,5,5,3,7,1,0,0,0.259,0.315,0.396,0.711,0.304,0.2,0,0.1,19514
Franchy Cordero,Padres,110,456,415,92,17,6,15,52,55,33,162,3,9,3,0.223,0.284,0.402,0.686,0.29,0.9,1.3,0.1,14567
Yonder Alonso,,28,59,52,13,2,0,2,7,8,6,13,0,0,0,0.245,0.326,0.425,0.751,0.318,0,-0.2,0.1,2530
Cole Tucker,Pirates,15,63,57,14,3,1,1,6,6,5,13,0,2,1,0.242,0.306,0.366,0.672,0.289,0.1,0,0.1,17326
